date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	3	mhs	metop-b	3	535	5	-2.5	0.1419553	0.1419553	0.1377929	0.9501936	0.93953
2021-05-11 03:00:00	3	mhs	metop-b	4	535	6	-2.0	-0.0771652	-0.0771652	0.1766759	0.8612148	0.8577508
2021-05-11 03:00:00	3	mhs	metop-b	5	535	5	-2.0	-0.1543114	-0.1543114	0.1310706	0.7935983	0.7784512
2021-05-11 04:00:00	1	mhs	metop-b	1	595	90	2.5	0.2605568	0.2605568	0.1105082	2.4276848	2.4136619
2021-05-11 04:00:00	1	mhs	metop-b	2	631	45	2.5	0.5588552	0.5588552	0.0484133	1.8564649	1.770351
2021-05-11 04:00:00	1	mhs	metop-b	3	631	8	2.5	0.0010991	0.0010991	0.1204759	0.8993875	0.8993868
2021-05-11 04:00:00	1	mhs	metop-b	4	631	7	2.0	-0.139292	-0.139292	0.1617553	0.8308085	0.8190485
2021-05-11 04:00:00	1	mhs	metop-b	5	631	8	2.0	-0.3634706	-0.3634706	0.1396285	0.8441798	0.7619243
2021-05-11 04:00:00	2	mhs	metop-b	1	571	79	2.5	0.2409597	-0.0740265	0.1024127	2.2181645	2.2169289
2021-05-11 04:00:00	2	mhs	metop-b	2	612	35	2.5	0.5625721	0.1306169	0.0376782	1.4758022	1.4700107
2021-05-11 04:00:00	2	mhs	metop-b	3	612	6	2.5	-0.0218682	-0.0104257	0.0943111	0.8009912	0.8009234
2021-05-11 04:00:00	2	mhs	metop-b	4	612	7	2.0	-0.1972289	-0.0523389	0.1101253	0.6888449	0.6868537
2021-05-11 04:00:00	2	mhs	metop-b	5	612	6	2.0	-0.4771756	-0.0429529	0.0956748	0.6972339	0.6959096
2021-05-11 04:00:00	3	mhs	metop-b	1	548	65	2.5	0.182707	-0.1298622	0.1033434	2.246124	2.2423668
2021-05-11 04:00:00	3	mhs	metop-b	2	583	33	2.5	0.5216017	0.062786	0.0458164	1.4500365	1.4486765
2021-05-11 04:00:00	3	mhs	metop-b	3	583	7	2.5	0.0348655	0.022362	0.0815766	0.7429202	0.7425835
2021-05-11 04:00:00	3	mhs	metop-b	4	583	5	2.0	-0.1736308	0.0385923	0.1021006	0.662015	0.6608891
2021-05-11 04:00:00	3	mhs	metop-b	5	583	7	2.0	-0.4992868	-0.011161	0.0922697	0.6811177	0.6810263
2021-05-11 05:00:00	1	mhs	metop-a	1	6	132	-2.5	-1.6844668	-1.6844668	0.21147	3.6277834	3.2130024
2021-05-11 05:00:00	1	mhs	metop-a	2	6	429	-2.5	-0.0428338	-0.0428338	1.1530379	3.6293541	3.6291013
2021-05-11 05:00:00	1	mhs	metop-a	3	6	5	-2.5	-0.3932337	-0.3932337	0.1454706	0.9763632	0.8936735
2021-05-11 05:00:00	1	mhs	metop-a	4	6	8	-2.0	-0.6416007	-0.6416007	0.228854	1.0008958	0.7682063
2021-05-11 05:00:00	1	mhs	metop-a	5	6	7	-2.0	-0.7440724	-0.7440724	0.1188493	0.8532436	0.4175894
2021-05-11 05:00:00	2	mhs	metop-a	1	7	132	-2.5	0.2125773	0.2125773	0.233781	2.3246155	2.3148754
2021-05-11 05:00:00	2	mhs	metop-a	2	8	428	-2.5	1.2611314	1.2611314	0.8275272	2.962421	2.6805757
2021-05-11 05:00:00	2	mhs	metop-a	3	8	4	-2.5	-0.3191483	-0.3191483	0.1676263	1.0432498	0.9932343
2021-05-11 05:00:00	2	mhs	metop-a	4	8	7	-2.0	-0.5807194	-0.5807194	0.2417288	1.0231452	0.8423723
2021-05-11 05:00:00	2	mhs	metop-a	5	8	6	-2.0	-0.9423309	-0.9423309	0.2718562	1.2050581	0.7511174
2021-05-11 05:00:00	3	mhs	metop-a	1	7	131	-2.5	0.1688023	0.1688023	0.2371621	2.369855	2.3638355
2021-05-11 05:00:00	3	mhs	metop-a	2	8	428	-2.5	1.2716689	1.2716689	0.8656877	3.0072139	2.7251043
2021-05-11 05:00:00	3	mhs	metop-a	3	8	4	-2.5	-0.514796	-0.514796	0.1386	0.9566533	0.8063316
2021-05-11 05:00:00	3	mhs	metop-a	4	8	6	-2.0	-0.6587455	-0.6587455	0.2896566	1.1226187	0.9090253
2021-05-11 05:00:00	3	mhs	metop-a	5	8	7	-2.0	-0.9338166	-0.9338166	0.2964377	1.260673	0.8469256
2021-05-11 06:00:00	1	mhs	metop-b	1	702	220	2.5	1.6066956	-0.1319953	0.3435769	2.8622988	2.8592537
2021-05-11 06:00:00	1	mhs	metop-b	2	792	139	2.5	1.329995	-0.4303706	0.5190167	2.7075727	2.67315
2021-05-11 06:00:00	1	mhs	metop-b	3	792	8	2.5	-0.0725828	-0.1334194	0.1295861	0.9260754	0.9164142
2021-05-11 06:00:00	1	mhs	metop-b	4	792	14	2.0	-0.367648	-0.0752321	0.1557584	0.81583	0.8123538
2021-05-11 06:00:00	1	mhs	metop-b	5	792	10	2.0	-0.3204941	0.2142536	0.1034368	0.7789621	0.7489174
2021-05-11 06:00:00	2	mhs	metop-b	1	788	197	2.5	1.8542501	0.0820744	0.2983772	2.5632191	2.5619047
2021-05-11 06:00:00	2	mhs	metop-b	2	875	116	2.5	1.481898	0.0166663	0.3571904	2.298902	2.2988415
2021-05-11 06:00:00	2	mhs	metop-b	3	875	10	2.5	-0.0116918	0.0406861	0.0887585	0.7610646	0.7599763
