date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	1	amsua	n19	11	1227	0	-0.4	-0.3336889	0.235724	0.6787528	0.3364527	0.240072
2021-05-11 03:00:00	1	amsua	n19	12	1203	24	-0.55	0.0521342	0.5997936	1.3046589	0.6879043	0.3368381
2021-05-11 03:00:00	1	amsua	n19	13	14	1213	-0.8	0.7147044	1.0770014	0.9622434	1.083221	0.1159122
2021-05-11 03:00:00	1	amsua	n19	15	288	14	3.5	3.3319169	0.6983082	0.2470036	2.2351599	2.123277
2021-05-11 03:00:00	1	amsua	metop-b	7	849	0	-0.23	-1.0840732	0.0456373	0.6039475	0.1788381	0.1729171
2021-05-11 03:00:00	1	amsua	metop-b	8	849	0	0.25	-0.8155499	0.0471246	0.8449471	0.2299255	0.2250445
2021-05-11 03:00:00	1	amsua	metop-b	9	849	0	0.25	-0.6190673	-0.073136	0.8183903	0.2264516	0.2143163
2021-05-11 03:00:00	1	amsua	metop-b	10	849	0	0.35	-0.2733529	-0.0460386	0.431346	0.2309181	0.2262822
2021-05-11 03:00:00	1	amsua	metop-b	11	849	0	-0.4	-0.0779945	0.1667648	0.5473865	0.3021	0.2519006
2021-05-11 03:00:00	1	amsua	metop-b	12	835	14	-0.55	0.2916481	0.5453981	1.1623854	0.6484997	0.3508458
2021-05-11 03:00:00	1	amsua	metop-b	13	100	749	-0.8	0.7091243	0.947978	0.7891619	0.9798219	0.247767
2021-05-11 03:00:00	2	amsua	n15	6	3	0	-0.23	-2.3682685	0.4624062	3.8144988	0.4760694	0.1132369
2021-05-11 03:00:00	2	amsua	n15	7	734	0	0.25	-0.2195076	0.0170316	0.2602441	0.1277318	0.1265912
2021-05-11 03:00:00	2	amsua	n15	8	734	0	0.275	-0.1397677	0.0606876	0.2879092	0.1476361	0.1345862
2021-05-11 03:00:00	2	amsua	n15	9	734	0	0.34	-0.0462185	-0.040492	0.3092204	0.1893154	0.1849343
2021-05-11 03:00:00	2	amsua	n15	10	734	0	0.4	0.1808801	-0.0050668	0.2276193	0.1917358	0.1916688
