date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	1	amsua	n19	11	1227	0	-0.4	-0.3356671	0.2337192	0.6765565	0.3359057	0.2412633
2021-05-11 03:00:00	1	amsua	n19	12	1203	24	-0.55	0.0508311	0.5984764	1.3008879	0.6869118	0.3371556
2021-05-11 03:00:00	1	amsua	n19	13	14	1213	-0.8	0.7141964	1.0765497	0.9614204	1.0827643	0.1158421
2021-05-11 03:00:00	1	amsua	n19	15	286	12	3.5	3.3813706	0.7192164	0.2497198	2.2348061	2.1159126
2021-05-11 03:00:00	1	amsua	metop-b	7	849	0	-0.23	-1.0804238	0.0492305	0.6185536	0.1809881	0.1741638
2021-05-11 03:00:00	1	amsua	metop-b	8	849	0	0.25	-0.8140705	0.0482266	0.8537045	0.2311139	0.2260262
2021-05-11 03:00:00	1	amsua	metop-b	9	849	0	0.25	-0.6239409	-0.0782081	0.8583307	0.2319116	0.2183265
2021-05-11 03:00:00	1	amsua	metop-b	10	849	0	0.35	-0.2791555	-0.0517978	0.4473532	0.2351641	0.2293886
2021-05-11 03:00:00	1	amsua	metop-b	11	849	0	-0.4	-0.0823779	0.1623611	0.5459402	0.301706	0.2542938
2021-05-11 03:00:00	1	amsua	metop-b	12	835	14	-0.55	0.2892411	0.5428844	1.1544981	0.6463027	0.3506903
2021-05-11 03:00:00	1	amsua	metop-b	13	100	749	-0.8	0.7084388	0.9472557	0.7879756	0.979087	0.2476249
2021-05-11 03:00:00	2	amsua	n15	6	3	0	-0.23	-2.3627847	0.4676567	3.8665603	0.4806696	0.1110875
2021-05-11 03:00:00	2	amsua	n15	7	734	0	0.25	-0.2182909	0.0163973	0.2595863	0.1275723	0.1265141
2021-05-11 03:00:00	2	amsua	n15	8	734	0	0.275	-0.1385325	0.0618201	0.2890581	0.1479304	0.1343937
2021-05-11 03:00:00	2	amsua	n15	9	734	0	0.34	-0.0448674	-0.0387739	0.3103873	0.1896722	0.1856668
2021-05-11 03:00:00	2	amsua	n15	10	734	0	0.4	0.1831678	-0.0049528	0.2278389	0.1918279	0.191764
2021-05-11 03:00:00	2	amsua	n15	12	734	0	-1.0	0.4885599	0.408479	0.2287481	0.5237517	0.327812
2021-05-11 03:00:00	2	amsua	n15	13	170	564	-1.5	1.7268738	1.8639057	0.8319046	1.8992741	0.3648254
2021-05-11 03:00:00	2	amsua	n18	1	171	5	2.5	-3.8530786	-0.3388343	0.1139347	2.2267401	2.2008095
2021-05-11 03:00:00	2	amsua	n18	2	176	0	2.2	-3.0763033	-0.2163176	0.068918	1.871529	1.8589857
2021-05-11 03:00:00	2	amsua	n18	3	176	0	2.0	-0.7464073	-0.5169437	0.112353	1.3520093	1.2492792
2021-05-11 03:00:00	2	amsua	n18	4	176	0	0.55	-0.3103209	-0.0173166	0.107045	0.3341684	0.3337194
2021-05-11 03:00:00	2	amsua	n18	5	176	0	-0.3	-0.5634329	0.0194646	0.4319252	0.2608581	0.2601309
2021-05-11 03:00:00	2	amsua	n18	6	673	0	0.23	-1.2954104	-0.0351004	0.3392134	0.1362369	0.1316376
2021-05-11 03:00:00	2	amsua	n18	7	707	0	0.23	-1.6315914	0.0201302	0.5306467	0.1676392	0.1664262
2021-05-11 03:00:00	2	amsua	n18	8	701	6	-0.25	-1.1264264	-0.0248041	1.3856991	0.2944446	0.293398
2021-05-11 03:00:00	2	amsua	n18	9	707	0	-0.25	-1.2167453	-0.0515084	0.7081141	0.2106446	0.2042499
2021-05-11 03:00:00	2	amsua	n18	10	707	0	0.35	-0.9297976	-0.0531268	0.350141	0.2080526	0.2011553
2021-05-11 03:00:00	2	amsua	n18	11	707	0	-0.4	-0.9453931	0.082007	0.4228364	0.2653999	0.2524123
2021-05-11 03:00:00	2	amsua	n18	12	707	0	-0.55	-0.5860779	0.1917318	0.4519651	0.4046374	0.3563289
2021-05-11 03:00:00	2	amsua	n18	13	191	516	-0.8	0.0641101	0.8866316	0.70844	0.9332492	0.2912705
2021-05-11 03:00:00	2	amsua	n18	14	1	706	-3.0	0.6525019	0.6525019	0.0071337	0.6525019	0.0
2021-05-11 03:00:00	2	amsua	n18	15	174	2	3.5	-0.2252561	0.1002499	0.0783604	1.8097945	1.8070158
2021-05-11 03:00:00	2	amsua	metop-a	1	361	6	2.5	-0.1596778	0.8126922	0.1721665	2.085141	1.9202459
2021-05-11 03:00:00	2	amsua	metop-a	2	367	0	2.2	-0.5146906	0.4839014	0.0618454	1.6016104	1.5267597
2021-05-11 03:00:00	2	amsua	metop-a	3	367	0	2.0	0.6312137	0.0493464	0.3414291	1.927441	1.9268092
2021-05-11 03:00:00	2	amsua	metop-a	4	367	0	0.55	-0.0141197	-0.0277622	0.1780503	0.3574267	0.3563469
2021-05-11 03:00:00	2	amsua	metop-a	5	367	0	0.3	-0.4252045	0.0633634	0.3811151	0.2423998	0.2339717
2021-05-11 03:00:00	2	amsua	metop-a	6	1162	0	0.23	-1.1489487	-0.0232186	0.454322	0.1571258	0.1554008
2021-05-11 03:00:00	2	amsua	metop-a	9	1233	4	0.25	-0.8582226	-0.0477534	0.487737	0.1748223	0.1681739
2021-05-11 03:00:00	2	amsua	metop-a	10	1237	0	0.35	-0.4452134	-0.011328	0.3580027	0.2103742	0.210069
2021-05-11 03:00:00	2	amsua	metop-a	11	1235	2	-0.4	-0.3018489	0.3351681	1.1035595	0.4289458	0.267688
2021-05-11 03:00:00	2	amsua	metop-a	12	1170	67	-0.55	-0.0202616	0.6250132	1.45256	0.7246671	0.3667436
2021-05-11 03:00:00	2	amsua	metop-a	13	85	1152	-0.8	-0.0868868	0.9503386	0.7728624	0.9804821	0.2412503
2021-05-11 03:00:00	2	amsua	metop-a	15	367	0	3.5	1.4017379	0.541239	0.0950252	1.6002148	1.5059043
2021-05-11 03:00:00	2	amsua	n19	1	333	5	2.5	1.0247457	0.4961656	0.1645944	1.694844	1.6205912
2021-05-11 03:00:00	2	amsua	n19	2	338	0	2.2	1.385931	0.357812	0.0654323	1.2351783	1.1822165
2021-05-11 03:00:00	2	amsua	n19	3	336	2	2.0	1.969152	0.4166633	0.1873924	1.4096408	1.3466546
2021-05-11 03:00:00	2	amsua	n19	4	338	0	0.55	-0.4564913	0.0311846	0.1478554	0.2967345	0.2950913
2021-05-11 03:00:00	2	amsua	n19	5	338	10	0.3	-0.9049463	0.0925062	0.3832675	0.2798815	0.2641519
2021-05-11 03:00:00	2	amsua	n19	6	1169	0	0.23	-1.0938765	0.0154491	0.4003702	0.156172	0.1554059
2021-05-11 03:00:00	2	amsua	n19	7	1188	39	-0.23	-1.3238935	0.0185088	1.7070132	0.3010587	0.3004892
2021-05-11 03:00:00	2	amsua	n19	8	750	477	-0.25	0.5024717	0.078179	2.7734728	0.4165668	0.4091649
2021-05-11 03:00:00	2	amsua	n19	9	1227	0	0.25	-0.7553487	-0.0145388	0.4350397	0.1651083	0.1644669
2021-05-11 03:00:00	2	amsua	n19	10	1227	0	0.35	-0.4062019	0.0157182	0.3348945	0.2034726	0.2028646
2021-05-11 03:00:00	2	amsua	n19	11	1227	0	-0.4	-0.3325724	0.2372496	0.6687158	0.3339632	0.2350406
2021-05-11 03:00:00	2	amsua	n19	12	1204	23	-0.55	0.0456228	0.5945459	1.2854833	0.6828467	0.3358494
2021-05-11 03:00:00	2	amsua	n19	13	14	1213	-0.8	0.715735	1.0779687	0.9633992	1.0838998	0.1132354
2021-05-11 03:00:00	2	amsua	n19	15	321	17	3.5	2.5690405	0.232457	0.1810839	2.0179446	2.0045109
